x,y,z
20.0,0.0074930848406556646,0.0
20.0,0.007841286814681762,0.0
20.0,0.008204657382389414,0.0
20.0,0.008583857327609395,0.0
20.0,0.008979576219653843,0.0
20.0,0.00939253366728755,0.0
20.0,0.009823480627325517,0.0
20.0,0.010273200770236435,0.0
20.0,0.010742511905235543,0.0
20.0,0.011232267467458057,0.0
20.0,0.011743358069918126,0.0
20.0,0.012276713123074842,0.0
20.0,0.012833302524951047,0.0
20.0,0.013414138424878118,0.0
20.0,0.014020277064073942,0.0
20.0,0.01465282069640162,0.0
20.0,0.015312919592801177,0.0
20.0,0.016001774133039715,0.0
20.0,0.016720636988583792,0.0
20.0,0.017470815400563187,0.0
20.0,0.018253673556969146,0.0
20.0,0.01907063507340926,0.0
20.0,0.01992318558193078,0.0
20.0,0.020812875432619882,0.0
20.0,0.02174132251288944,0.0
20.0,0.02271021518958284,0.0
20.0,0.02372131537924313,0.0
20.0,0.024776461752131412,0.0
20.0,0.025877573075820677,0.0
20.0,0.02702665170444528,0.0
20.0,0.0282257872199515,0.0
20.0,0.02947716023197024,0.0
20.0,0.030783046343222466,0.0
20.0,0.032145820287668006,0.0
20.0,0.03356796024892293,0.0
20.0,0.035052052366798835,0.0
20.0,0.03660079544015834,0.0
20.0,0.038217005834639814,0.0
20.0,0.03990362260417522,0.0
20.0,0.04166371283561482,0.0
20.0,0.04350047722617799,0.0
20.0,0.0454172559038718,0.0
20.0,0.04741753450146339,0.0
20.0,0.04950495049504951,0.0
20.0,0.051683299818751444,0.0
20.0,0.05395654376756323,0.0
20.0,0.05632881620090631,0.0
20.0,0.05880443105998946,0.0
20.0,0.06138789021264534,0.0
20.0,0.06408389163990819,0.0
20.0,0.06689733797922076,0.0
20.0,0.0698333454398058,0.0
20.0,0.0728972531064141,0.0
20.0,0.07609463264836884,0.0
20.0,0.07943129845156113,0.0
20.0,0.08291331819182214,0.0
20.0,0.08654702386889865,0.0
20.0,0.09033902332109844,0.0
20.0,0.09429621224154291,0.0
20.0,0.09842578671787999,0.0
20.0,0.10273525631825965,0.0
20.0,0.10723245774736885,0.0
20.0,0.11192556909735979,0.0
20.0,0.11682312471958509,0.0
20.0,0.12193403074418575,0.0
20.0,0.1272675812757529,0.0
