x,y,z
20.0,0.0,0.0
20.0,0.6666666666666666,0.0
20.0,2.0000000000000004,0.0
20.0,4.000000000000001,0.0
20.0,6.666666666666666,0.0
20.0,10.0,0.0
24.0,0.0,0.0
24.0,0.6666666666666666,0.0
24.0,2.0000000000000004,0.0
24.0,4.000000000000001,0.0
24.0,6.666666666666666,0.0
24.0,10.0,0.0
32.0,0.0,0.0
32.0,0.6666666666666666,0.0
32.0,2.0000000000000004,0.0
32.0,4.000000000000001,0.0
32.0,6.666666666666666,0.0
32.0,10.0,0.0
44.0,0.0,0.0
44.0,0.6666666666666666,0.0
44.0,2.0000000000000004,0.0
44.0,4.000000000000001,0.0
44.0,6.666666666666666,0.0
44.0,10.0,0.0
60.0,0.0,0.0
60.0,0.6666666666666666,0.0
60.0,2.0000000000000004,0.0
60.0,4.000000000000001,0.0
60.0,6.666666666666666,0.0
60.0,10.0,0.0
80.0,0.0,0.0
80.0,0.6666666666666666,0.0
80.0,2.0000000000000004,0.0
80.0,4.000000000000001,0.0
80.0,6.666666666666666,0.0
80.0,10.0,0.0
104.0,0.0,0.0
104.0,0.6666666666666666,0.0
104.0,2.0000000000000004,0.0
104.0,4.000000000000001,0.0
104.0,6.666666666666666,0.0
104.0,10.0,0.0
132.0,0.0,0.0
132.0,0.6666666666666666,0.0
132.0,2.0000000000000004,0.0
132.0,4.000000000000001,0.0
132.0,6.666666666666666,0.0
132.0,10.0,0.0
164.0,0.0,0.0
164.0,0.6666666666666666,0.0
164.0,2.0000000000000004,0.0
164.0,4.000000000000001,0.0
164.0,6.666666666666666,0.0
164.0,10.0,0.0
200.0,0.0,0.0
200.0,0.6666666666666666,0.0
200.0,2.0000000000000004,0.0
200.0,4.000000000000001,0.0
200.0,6.666666666666666,0.0
200.0,10.0,0.0
