x,y,z
-11.2,2.0,0.0
-11.2,2.25,0.0
-11.2,2.5,0.0
-11.2,2.75,0.0
-11.2,3.0,0.0
-11.2,3.25,0.0
-11.2,3.5,0.0
-11.2,3.75,0.0
-11.2,4.0,0.0
-11.2,4.25,0.0
-11.2,4.5,0.0
-11.2,4.75,0.0
-11.2,5.0,0.0
-10.399999999999999,0.0,0.0
-10.399999999999999,0.25,0.0
-10.399999999999999,0.5,0.0
-10.399999999999999,0.75,0.0
-10.399999999999999,1.0,0.0
-10.399999999999999,1.25,0.0
-10.399999999999999,1.5,0.0
-10.399999999999999,1.75,0.0
-10.399999999999999,2.0,0.0
-10.399999999999999,2.25,0.0
-10.399999999999999,2.5,0.0
-10.399999999999999,2.75,0.0
-10.399999999999999,3.0,0.0
-10.399999999999999,3.25,0.0
-10.399999999999999,3.5,0.0
-10.399999999999999,3.75,0.0
-10.399999999999999,4.0,0.0
-10.399999999999999,4.25,0.0
-10.399999999999999,4.5,0.0
-10.399999999999999,4.75,0.0
-10.399999999999999,5.0,0.0
-9.6,0.0,0.0
-9.6,0.25,0.0
-9.6,0.5,0.0
-9.6,0.75,0.0
-9.6,1.0,0.0
-9.6,1.25,0.0
-9.6,1.5,0.0
-9.6,1.75,0.0
-9.6,2.0,0.0
-9.6,2.25,0.0
-9.6,2.5,0.0
-9.6,2.75,0.0
-9.6,3.0,0.0
-9.6,3.25,0.0
-9.6,3.5,0.0
-9.6,3.75,0.0
-9.6,4.0,0.0
-9.6,4.25,0.0
-9.6,4.5,0.0
-9.6,4.75,0.0
-9.6,5.0,0.0
-8.799999999999999,0.0,0.0
-8.799999999999999,0.25,0.0
-8.799999999999999,0.5,0.0
-8.799999999999999,0.75,0.0
-8.799999999999999,1.0,0.0
-8.799999999999999,1.25,0.0
-8.799999999999999,1.5,0.0
-8.799999999999999,1.75,0.0
-8.799999999999999,2.0,0.0
-8.799999999999999,2.25,0.0
-8.799999999999999,2.5,0.0
-8.799999999999999,2.75,0.0
-8.799999999999999,3.0,0.0
-8.799999999999999,3.25,0.0
-8.799999999999999,3.5,0.0
-8.799999999999999,3.75,0.0
-8.799999999999999,4.0,0.0
-8.799999999999999,4.25,0.0
-8.799999999999999,4.5,0.0
-8.799999999999999,4.75,0.0
-8.799999999999999,5.0,0.0
-8.0,0.0,0.0
-8.0,0.25,0.0
-8.0,0.5,0.0
-8.0,0.75,0.0
-8.0,1.0,0.0
-8.0,1.25,0.0
-8.0,1.5,0.0
-8.0,1.75,0.0
-8.0,2.0,0.0
-8.0,2.25,0.0
-8.0,2.5,0.0
-8.0,2.75,0.0
-8.0,3.0,0.0
-8.0,3.25,0.0
-8.0,3.5,0.0
-8.0,3.75,0.0
-8.0,4.0,0.0
-8.0,4.25,0.0
-8.0,4.5,0.0
-8.0,4.75,0.0
-8.0,5.0,0.0
-7.199999999999999,0.0,0.0
-7.199999999999999,0.25,0.0
-7.199999999999999,0.5,0.0
-7.199999999999999,0.75,0.0
-7.199999999999999,1.0,0.0
-7.199999999999999,1.25,0.0
-7.199999999999999,1.5,0.0
-7.199999999999999,1.75,0.0
-7.199999999999999,2.0,0.0
-7.199999999999999,2.25,0.0
-7.199999999999999,2.5,0.0
