x,y,z
0.0,-2.0,0.0
0.0,3.0,0.0
0.0,8.0,0.0
10.0,-2.0,0.0
10.0,3.0,0.0
10.0,8.0,0.0
20.0,-2.0,0.0
20.0,3.0,0.0
20.0,8.0,0.0
